host1=d7f4eda67446
host2=d7f4eda67446super
=== /etc/hosts ===
# Hacked for QA/430
#
10.88.0.6	d7f4eda67446 pcp-ci-debian11-container
  |-pmlogger,608655 -h d7f4eda67446super -d "/tmp/430-606146.6" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-redis-server,36945
  |   |-{redis-server},36946
  |   |-{redis-server},36947
  |   |-{redis-server},36948
  |   `-{redis-server},36949
  |-systemd-journal,21
  |-systemd-logind,35
  |-systemd-machine,38400
  |-systemd-udevd,9795
  |-unbound,13316 -d -p
  `-zabbix_agentd,12868 --foreground
      |-zabbix_agentd,12869
      |-zabbix_agentd,12870
      |-zabbix_agentd,12871
      |-zabbix_agentd,12872
      `-zabbix_agentd,12873
--- end of pstree output ---
_parse_log_control: initial pwd=/tmp
[/tmp/430-606146/control:3] host="$version=1.1" primary="" socks="" dir="" args=""
[/tmp/430-606146/control:4] host="$PMLOGGER_CHECK_SKIP_JANITOR=yes" primary="" socks="" dir="" args=""
[/tmp/430-606146/control:8] host="LOCALHOSTNAME" primary="y" socks="n" dir="/tmp/430-606146.1" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.1 dir=/tmp/430-606146.1
Current dir: /tmp/430-606146.1
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.1/lock
609316 pmlogger_check
Checking for: pmlogger -P -h local: ... in /tmp/430-606146.1 ...
/var/lib/pcp/tmp/pmlogger/primary: missing?
Contents of /var/lib/pcp/tmp/pmlogger
total 20
-rw-r--r-- 1 pcp pcp 66 Mar  6 19:43 608445
-rw-r--r-- 1 pcp pcp 66 Mar  6 19:43 608493
-rw-r--r-- 1 pcp pcp 66 Mar  6 19:43 608544
-rw-r--r-- 1 pcp pcp 66 Mar  6 19:43 608598
-rw-r--r-- 1 pcp pcp 66 Mar  6 19:43 608655
--- end of ls output ---
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Command: PMLOGGER_INTERVAL=10 /usr/lib/pcp/bin/pmlogger -N -P -d "/tmp/430-606146.1" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
Restarting primary pmlogger for host "local:" ... [process 609414]  done
[/tmp/430-606146/control:9] host="LOCALHOSTNAME" primary="n" socks="n" dir="/tmp/430-606146.2" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.2 dir=/tmp/430-606146.2
Current dir: /tmp/430-606146.2
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.2/lock
609316 pmlogger_check
Checking for: pmlogger -h local: ... in /tmp/430-606146.2 ...
... try /var/lib/pcp/tmp/pmlogger/608445 _host=d7f4eda67446 _archdir=/tmp/430-606146.2/20260306.19.43 _trydir=/tmp/430-606146.2 dir=/tmp/430-606146.2: match=2 pmlogger process 608445 identified, OK
[/tmp/430-606146/control:10] host="d7f4eda67446" primary="n" socks="n" dir="/tmp/430-606146.3" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.3 dir=/tmp/430-606146.3
Current dir: /tmp/430-606146.3
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.3/lock
609316 pmlogger_check
Checking for: pmlogger -h d7f4eda67446 ... in /tmp/430-606146.3 ...
... try /var/lib/pcp/tmp/pmlogger/608445 _host=d7f4eda67446 _archdir=/tmp/430-606146.2/20260306.19.43 _trydir=/tmp/430-606146.3 dir=/tmp/430-606146.3: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608493 _host=d7f4eda67446 _archdir=/tmp/430-606146.3/20260306.19.43 _trydir=/tmp/430-606146.3 dir=/tmp/430-606146.3: match=2 pmlogger process 608493 identified, OK
[/tmp/430-606146/control:11] host="d7f4eda67446" primary="n" socks="n" dir="/tmp/430-606146.4" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.4 dir=/tmp/430-606146.4
Current dir: /tmp/430-606146.4
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.4/lock
609316 pmlogger_check
Checking for: pmlogger -h d7f4eda67446 ... in /tmp/430-606146.4 ...
... try /var/lib/pcp/tmp/pmlogger/608445 _host=d7f4eda67446 _archdir=/tmp/430-606146.2/20260306.19.43 _trydir=/tmp/430-606146.4 dir=/tmp/430-606146.4: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608493 _host=d7f4eda67446 _archdir=/tmp/430-606146.3/20260306.19.43 _trydir=/tmp/430-606146.4 dir=/tmp/430-606146.4: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608544 _host=d7f4eda67446 _archdir=/tmp/430-606146.4/20260306.19.43 _trydir=/tmp/430-606146.4 dir=/tmp/430-606146.4: match=2 pmlogger process 608544 identified, OK
[/tmp/430-606146/control:12] host="d7f4eda67446super" primary="n" socks="n" dir="/tmp/430-606146.5" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.5 dir=/tmp/430-606146.5
Current dir: /tmp/430-606146.5
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.5/lock
609316 pmlogger_check
Checking for: pmlogger -h d7f4eda67446super ... in /tmp/430-606146.5 ...
... try /var/lib/pcp/tmp/pmlogger/608445 _host=d7f4eda67446 _archdir=/tmp/430-606146.2/20260306.19.43 _trydir=/tmp/430-606146.5 dir=/tmp/430-606146.5: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608493 _host=d7f4eda67446 _archdir=/tmp/430-606146.3/20260306.19.43 _trydir=/tmp/430-606146.5 dir=/tmp/430-606146.5: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608544 _host=d7f4eda67446 _archdir=/tmp/430-606146.4/20260306.19.43 _trydir=/tmp/430-606146.5 dir=/tmp/430-606146.5: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608598 _host=d7f4eda67446 _archdir=/tmp/430-606146.5/20260306.19.43 _trydir=/tmp/430-606146.5 dir=/tmp/430-606146.5: match=2 pmlogger process 608598 identified, OK
[/tmp/430-606146/control:13] host="d7f4eda67446super" primary="n" socks="n" dir="/tmp/430-606146.6" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.6 dir=/tmp/430-606146.6
Current dir: /tmp/430-606146.6
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.6/lock
609316 pmlogger_check
Checking for: pmlogger -h d7f4eda67446super ... in /tmp/430-606146.6 ...
... try /var/lib/pcp/tmp/pmlogger/608445 _host=d7f4eda67446 _archdir=/tmp/430-606146.2/20260306.19.43 _trydir=/tmp/430-606146.6 dir=/tmp/430-606146.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608493 _host=d7f4eda67446 _archdir=/tmp/430-606146.3/20260306.19.43 _trydir=/tmp/430-606146.6 dir=/tmp/430-606146.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608544 _host=d7f4eda67446 _archdir=/tmp/430-606146.4/20260306.19.43 _trydir=/tmp/430-606146.6 dir=/tmp/430-606146.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608598 _host=d7f4eda67446 _archdir=/tmp/430-606146.5/20260306.19.43 _trydir=/tmp/430-606146.6 dir=/tmp/430-606146.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608655 _host=d7f4eda67446 _archdir=/tmp/430-606146.6/20260306.19.43 _trydir=/tmp/430-606146.6 dir=/tmp/430-606146.6: match=2 pmlogger process 608655 identified, OK
Doing compression ...
End [check]: 2026-03-06 19:43:09.054028103 status=0
Found pid 609414 after 0 iterations
Connected to pmlogger on port 4330 at local:
pmlogger [609414] on host local: is logging metrics from host d7f4eda67446
PMCD host        d7f4eda67446
log started      Fri Mar  6 19:43:08.113370296 2026 (times in local time)
last log entry   Fri Mar  6 19:43:08.113370296 2026
current time     Fri Mar  6 19:43:09.070930504 2026
log volume       0
log size         1056

Kill off one pmlogger ...
6 active pmloggers: 608445 608493 608544 608598 608655 609414 primary
--- /var/lib/pcp/tmp/pmlogger/608445 ---
4330
d7f4eda67446
/tmp/430-606146.2/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608493 ---
4330
d7f4eda67446
/tmp/430-606146.3/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608544 ---
4330
d7f4eda67446
/tmp/430-606146.4/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608598 ---
4330
d7f4eda67446
/tmp/430-606146.5/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608655 ---
4330
d7f4eda67446
/tmp/430-606146.6/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/609414 ---
4330
d7f4eda67446
/tmp/430-606146.1/20260306.19.43-00
pmlogger_check
initially pid=608445
Victim pid=608445
UID          PID    PPID  C STIME TTY          TIME CMD
pcp       608445       1  0 19:43 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -h local: -d "/tmp/430-606146.2" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
+++ /var/lib/pcp/tmp/pmlogger/608445 +++
4330
d7f4eda67446
/tmp/430-606146.2/20260306.19.43
pmlogger_check
Check ...
Start [check]: 2026-03-06 19:43:09.137567796
Called from:
systemd,1
  |-agetty,37 -o -p -- \\u --noclear --keep-baud console 115200,38400,9600 xterm
  |-apache2,39056 -k start
  |   |-apache2,39058 -k start
  |   |   |-{apache2},39061
  |   |   |-{apache2},39062
  |   |   |-{apache2},39063
  |   |   |-{apache2},39065
  |   |   |-{apache2},39067
  |   |   |-{apache2},39069
  |   |   |-{apache2},39072
  |   |   |-{apache2},39074
  |   |   |-{apache2},39075
  |   |   |-{apache2},39076
  |   |   |-{apache2},39078
  |   |   |-{apache2},39079
  |   |   |-{apache2},39082
  |   |   |-{apache2},39083
  |   |   |-{apache2},39085
  |   |   |-{apache2},39087
  |   |   |-{apache2},39089
  |   |   |-{apache2},39091
  |   |   |-{apache2},39093
  |   |   |-{apache2},39095
  |   |   |-{apache2},39097
  |   |   |-{apache2},39100
  |   |   |-{apache2},39101
  |   |   |-{apache2},39102
  |   |   |-{apache2},39106
  |   |   `-{apache2},39107
  |   `-apache2,39059 -k start
  |       |-{apache2},39066
  |       |-{apache2},39068
  |       |-{apache2},39070
  |       |-{apache2},39071
  |       |-{apache2},39073
  |       |-{apache2},39077
  |       |-{apache2},39080
  |       |-{apache2},39081
  |       |-{apache2},39084
  |       |-{apache2},39086
  |       |-{apache2},39088
  |       |-{apache2},39090
  |       |-{apache2},39092
  |       |-{apache2},39094
  |       |-{apache2},39096
  |       |-{apache2},39098
  |       |-{apache2},39099
  |       |-{apache2},39103
  |       |-{apache2},39104
  |       |-{apache2},39105
  |       |-{apache2},39108
  |       |-{apache2},39109
  |       |-{apache2},39110
  |       |-{apache2},39111
  |       |-{apache2},39112
  |       `-{apache2},39113
  |-avahi-daemon,37360
  |   `-avahi-daemon,37361
  |-cron,10681 -f
  |-dbus-daemon,33 --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
  |-exim4,37729 -bd -q30m
  |-htcacheclean,39155 -d 120 -p /var/cache/apache2/mod_cache_disk -l 300M -n
  |-libvirtd,38401
  |   |-{libvirtd},38402
  |   |-{libvirtd},38403
  |   |-{libvirtd},38404
  |   |-{libvirtd},38405
  |   |-{libvirtd},38406
  |   |-{libvirtd},38407
  |   |-{libvirtd},38408
  |   |-{libvirtd},38409
  |   |-{libvirtd},38410
  |   |-{libvirtd},38411
  |   |-{libvirtd},38412
  |   |-{libvirtd},38413
  |   |-{libvirtd},38414
  |   |-{libvirtd},38415
  |   |-{libvirtd},38416
  |   |-{libvirtd},38418
  |   |-{libvirtd},38420
  |   `-{libvirtd},38423
  |-memcached,38082 -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
  |   |-{memcached},38086
  |   |-{memcached},38087
  |   |-{memcached},38088
  |   |-{memcached},38089
  |   |-{memcached},38090
  |   |-{memcached},38091
  |   |-{memcached},38092
  |   |-{memcached},38093
  |   `-{memcached},38094
  |-pmcd,604022 -A -T 3 -C 512
  |   `-pmdaroot,604029
  |       |-pmdadm,604094 -d 129
  |       |-pmdakvm,604093 -d 95
  |       |-pmdalinux,604046
  |       |-pmdaproc,604035 -d 3
  |       |-pmdasample,604042 -d 29
  |       |-pmdasimple,604108 -d 253
  |       |-pmdaxfs,604038 -d 11
  |       |-python3,604050 /var/lib/pcp/pmdas/nfsclient/pmdanfsclient.python
  |       |-python3,604099 /var/lib/pcp/pmdas/opentelemetry/pmdaopentelemetry.python
  |       `-python3,604095 /var/lib/pcp/pmdas/openmetrics/pmdaopenmetrics.python
  |-pmlogger,608493 -h d7f4eda67446 -d "/tmp/430-606146.3" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,608544 -h d7f4eda67446 -d "/tmp/430-606146.4" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,608598 -h d7f4eda67446super -d "/tmp/430-606146.5" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,608655 -h d7f4eda67446super -d "/tmp/430-606146.6" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,609414 -N -P -d "/tmp/430-606146.1" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-redis-server,36945
  |   |-{redis-server},36946
  |   |-{redis-server},36947
  |   |-{redis-server},36948
  |   `-{redis-server},36949
  |-systemd-journal,21
  |-systemd-logind,35
  |-systemd-machine,38400
  |-systemd-udevd,9795
  |-unbound,13316 -d -p
  `-zabbix_agentd,12868 --foreground
      |-zabbix_agentd,12869
      |-zabbix_agentd,12870
      |-zabbix_agentd,12871
      |-zabbix_agentd,12872
      `-zabbix_agentd,12873
--- end of pstree output ---
_parse_log_control: initial pwd=/tmp
[/tmp/430-606146/control:3] host="$version=1.1" primary="" socks="" dir="" args=""
[/tmp/430-606146/control:4] host="$PMLOGGER_CHECK_SKIP_JANITOR=yes" primary="" socks="" dir="" args=""
[/tmp/430-606146/control:8] host="LOCALHOSTNAME" primary="y" socks="n" dir="/tmp/430-606146.1" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.1 dir=/tmp/430-606146.1
Current dir: /tmp/430-606146.1
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.1/lock
610548 pmlogger_check
Checking for: pmlogger -P -h local: ... in /tmp/430-606146.1 ...
... try /var/lib/pcp/tmp/pmlogger/primary: _host=d7f4eda67446 _arch=/tmp/430-606146.1/20260306.19.43-00
primary pmlogger process 609414 identified, OK
[/tmp/430-606146/control:9] host="LOCALHOSTNAME" primary="n" socks="n" dir="/tmp/430-606146.2" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.2 dir=/tmp/430-606146.2
Current dir: /tmp/430-606146.2
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.2/lock
610548 pmlogger_check
Checking for: pmlogger -h local: ... in /tmp/430-606146.2 ...
... try /var/lib/pcp/tmp/pmlogger/608493 _host=d7f4eda67446 _archdir=/tmp/430-606146.3/20260306.19.43 _trydir=/tmp/430-606146.2 dir=/tmp/430-606146.2: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608544 _host=d7f4eda67446 _archdir=/tmp/430-606146.4/20260306.19.43 _trydir=/tmp/430-606146.2 dir=/tmp/430-606146.2: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608598 _host=d7f4eda67446 _archdir=/tmp/430-606146.5/20260306.19.43 _trydir=/tmp/430-606146.2 dir=/tmp/430-606146.2: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608655 _host=d7f4eda67446 _archdir=/tmp/430-606146.6/20260306.19.43 _trydir=/tmp/430-606146.2 dir=/tmp/430-606146.2: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/609414 _host=d7f4eda67446 _archdir=/tmp/430-606146.1/20260306.19.43-00 _trydir=/tmp/430-606146.2 dir=/tmp/430-606146.2: match=0 different directory, skip
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-606146/config" (pmlogconf)
Command: PMLOGGER_LOCAL=1 /usr/lib/pcp/bin/pmlogger -h local: -d "/tmp/430-606146.2" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
Restarting pmlogger for host "local:" ... [process 610720]  done
[/tmp/430-606146/control:10] host="d7f4eda67446" primary="n" socks="n" dir="/tmp/430-606146.3" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.3 dir=/tmp/430-606146.3
Current dir: /tmp/430-606146.3
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.3/lock
610548 pmlogger_check
Checking for: pmlogger -h d7f4eda67446 ... in /tmp/430-606146.3 ...
... try /var/lib/pcp/tmp/pmlogger/608493 _host=d7f4eda67446 _archdir=/tmp/430-606146.3/20260306.19.43 _trydir=/tmp/430-606146.3 dir=/tmp/430-606146.3: match=2 pmlogger process 608493 identified, OK
[/tmp/430-606146/control:11] host="d7f4eda67446" primary="n" socks="n" dir="/tmp/430-606146.4" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.4 dir=/tmp/430-606146.4
Current dir: /tmp/430-606146.4
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.4/lock
610548 pmlogger_check
Checking for: pmlogger -h d7f4eda67446 ... in /tmp/430-606146.4 ...
... try /var/lib/pcp/tmp/pmlogger/608493 _host=d7f4eda67446 _archdir=/tmp/430-606146.3/20260306.19.43 _trydir=/tmp/430-606146.4 dir=/tmp/430-606146.4: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608544 _host=d7f4eda67446 _archdir=/tmp/430-606146.4/20260306.19.43 _trydir=/tmp/430-606146.4 dir=/tmp/430-606146.4: match=2 pmlogger process 608544 identified, OK
[/tmp/430-606146/control:12] host="d7f4eda67446super" primary="n" socks="n" dir="/tmp/430-606146.5" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.5 dir=/tmp/430-606146.5
Current dir: /tmp/430-606146.5
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.5/lock
610548 pmlogger_check
Checking for: pmlogger -h d7f4eda67446super ... in /tmp/430-606146.5 ...
... try /var/lib/pcp/tmp/pmlogger/608493 _host=d7f4eda67446 _archdir=/tmp/430-606146.3/20260306.19.43 _trydir=/tmp/430-606146.5 dir=/tmp/430-606146.5: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608544 _host=d7f4eda67446 _archdir=/tmp/430-606146.4/20260306.19.43 _trydir=/tmp/430-606146.5 dir=/tmp/430-606146.5: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608598 _host=d7f4eda67446 _archdir=/tmp/430-606146.5/20260306.19.43 _trydir=/tmp/430-606146.5 dir=/tmp/430-606146.5: match=2 pmlogger process 608598 identified, OK
[/tmp/430-606146/control:13] host="d7f4eda67446super" primary="n" socks="n" dir="/tmp/430-606146.6" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.6 dir=/tmp/430-606146.6
Current dir: /tmp/430-606146.6
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.6/lock
610548 pmlogger_check
Checking for: pmlogger -h d7f4eda67446super ... in /tmp/430-606146.6 ...
... try /var/lib/pcp/tmp/pmlogger/608493 _host=d7f4eda67446 _archdir=/tmp/430-606146.3/20260306.19.43 _trydir=/tmp/430-606146.6 dir=/tmp/430-606146.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608544 _host=d7f4eda67446 _archdir=/tmp/430-606146.4/20260306.19.43 _trydir=/tmp/430-606146.6 dir=/tmp/430-606146.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608598 _host=d7f4eda67446 _archdir=/tmp/430-606146.5/20260306.19.43 _trydir=/tmp/430-606146.6 dir=/tmp/430-606146.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/608655 _host=d7f4eda67446 _archdir=/tmp/430-606146.6/20260306.19.43 _trydir=/tmp/430-606146.6 dir=/tmp/430-606146.6: match=2 pmlogger process 608655 identified, OK
Doing compression ...
End [check]: 2026-03-06 19:43:10.182674719 status=0
Found pid 610720 after 0 iterations

Kill off one pmlogger ...
6 active pmloggers: 608493 608544 608598 608655 609414 610720 primary
--- /var/lib/pcp/tmp/pmlogger/608493 ---
4330
d7f4eda67446
/tmp/430-606146.3/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608544 ---
4330
d7f4eda67446
/tmp/430-606146.4/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608598 ---
4330
d7f4eda67446
/tmp/430-606146.5/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/608655 ---
4330
d7f4eda67446
/tmp/430-606146.6/20260306.19.43
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/609414 ---
4330
d7f4eda67446
/tmp/430-606146.1/20260306.19.43-00
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/610720 ---
4330
d7f4eda67446
/tmp/430-606146.2/20260306.19.43-00
pmlogger_check
initially pid=608493
Victim pid=608493
UID          PID    PPID  C STIME TTY          TIME CMD
pcp       608493       1  0 19:43 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -h d7f4eda67446 -d "/tmp/430-606146.3" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
+++ /var/lib/pcp/tmp/pmlogger/608493 +++
4330
d7f4eda67446
/tmp/430-606146.3/20260306.19.43
pmlogger_check
Check ...
Start [check]: 2026-03-06 19:43:10.268434799
Called from:
systemd,1
  |-agetty,37 -o -p -- \\u --noclear --keep-baud console 115200,38400,9600 xterm
  |-apache2,39056 -k start
  |   |-apache2,39058 -k start
  |   |   |-{apache2},39061
  |   |   |-{apache2},39062
  |   |   |-{apache2},39063
  |   |   |-{apache2},39065
  |   |   |-{apache2},39067
  |   |   |-{apache2},39069
  |   |   |-{apache2},39072
  |   |   |-{apache2},39074
  |   |   |-{apache2},39075
  |   |   |-{apache2},39076
  |   |   |-{apache2},39078
  |   |   |-{apache2},39079
  |   |   |-{apache2},39082
  |   |   |-{apache2},39083
  |   |   |-{apache2},39085
  |   |   |-{apache2},39087
  |   |   |-{apache2},39089
  |   |   |-{apache2},39091
  |   |   |-{apache2},39093
  |   |   |-{apache2},39095
  |   |   |-{apache2},39097
  |   |   |-{apache2},39100
  |   |   |-{apache2},39101
  |   |   |-{apache2},39102
  |   |   |-{apache2},39106
  |   |   `-{apache2},39107
  |   `-apache2,39059 -k start
  |       |-{apache2},39066
  |       |-{apache2},39068
  |       |-{apache2},39070
  |       |-{apache2},39071
  |       |-{apache2},39073
  |       |-{apache2},39077
  |       |-{apache2},39080
  |       |-{apache2},39081
  |       |-{apache2},39084
  |       |-{apache2},39086
  |       |-{apache2},39088
  |       |-{apache2},39090
  |       |-{apache2},39092
  |       |-{apache2},39094
  |       |-{apache2},39096
  |       |-{apache2},39098
  |       |-{apache2},39099
  |       |-{apache2},39103
  |       |-{apache2},39104
  |       |-{apache2},39105
  |       |-{apache2},39108
  |       |-{apache2},39109
  |       |-{apache2},39110
  |       |-{apache2},39111
  |       |-{apache2},39112
  |       `-{apache2},39113
  |-avahi-daemon,37360
  |   `-avahi-daemon,37361
  |-cron,10681 -f
  |-dbus-daemon,33 --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
  |-exim4,37729 -bd -q30m
  |-htcacheclean,39155 -d 120 -p /var/cache/apache2/mod_cache_disk -l 300M -n
  |-libvirtd,38401
  |   |-{libvirtd},38402
  |   |-{libvirtd},38403
  |   |-{libvirtd},38404
  |   |-{libvirtd},38405
  |   |-{libvirtd},38406
  |   |-{libvirtd},38407
  |   |-{libvirtd},38408
  |   |-{libvirtd},38409
  |   |-{libvirtd},38410
  |   |-{libvirtd},38411
  |   |-{libvirtd},38412
  |   |-{libvirtd},38413
  |   |-{libvirtd},38414
  |   |-{libvirtd},38415
  |   |-{libvirtd},38416
  |   |-{libvirtd},38418
  |   |-{libvirtd},38420
  |   `-{libvirtd},38423
  |-memcached,38082 -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
  |   |-{memcached},38086
  |   |-{memcached},38087
  |   |-{memcached},38088
  |   |-{memcached},38089
  |   |-{memcached},38090
  |   |-{memcached},38091
  |   |-{memcached},38092
  |   |-{memcached},38093
  |   `-{memcached},38094
  |-pmcd,604022 -A -T 3 -C 512
  |   `-pmdaroot,604029
  |       |-pmdadm,604094 -d 129
  |       |-pmdakvm,604093 -d 95
  |       |-pmdalinux,604046
  |       |-pmdaproc,604035 -d 3
  |       |-pmdasample,604042 -d 29
  |       |-pmdasimple,604108 -d 253
  |       |-pmdaxfs,604038 -d 11
  |       |-python3,604050 /var/lib/pcp/pmdas/nfsclient/pmdanfsclient.python
  |       |-python3,604099 /var/lib/pcp/pmdas/opentelemetry/pmdaopentelemetry.python
  |       `-python3,604095 /var/lib/pcp/pmdas/openmetrics/pmdaopenmetrics.python
  |-pmlogger,608544 -h d7f4eda67446 -d "/tmp/430-606146.4" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,608598 -h d7f4eda67446super -d "/tmp/430-606146.5" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,608655 -h d7f4eda67446super -d "/tmp/430-606146.6" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,609414 -N -P -d "/tmp/430-606146.1" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,610720 -h local: -d "/tmp/430-606146.2" -c /tmp/430-606146/config -m pmlogger_check %Y%m%d.%H.%M
  |-redis-server,36945
  |   |-{redis-server},36946
  |   |-{redis-server},36947
  |   |-{redis-server},36948
  |   `-{redis-server},36949
  |-systemd-journal,21
  |-systemd-logind,35
  |-systemd-machine,38400
  |-systemd-udevd,9795
  |-unbound,13316 -d -p
  `-zabbix_agentd,12868 --foreground
      |-zabbix_agentd,12869
      |-zabbix_agentd,12870
      |-zabbix_agentd,12871
      |-zabbix_agentd,12872
      `-zabbix_agentd,12873
--- end of pstree output ---
_parse_log_control: initial pwd=/tmp
[/tmp/430-606146/control:3] host="$version=1.1" primary="" socks="" dir="" args=""
[/tmp/430-606146/control:4] host="$PMLOGGER_CHECK_SKIP_JANITOR=yes" primary="" socks="" dir="" args=""
[/tmp/430-606146/control:8] host="LOCALHOSTNAME" primary="y" socks="n" dir="/tmp/430-606146.1" args="-c /tmp/430-606146/config"
After _do_dir_and_args: orig_dir=/tmp/430-606146.1 dir=/tmp/430-606146.1
Current dir: /tmp/430-606146.1
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 19:43 /tmp/430-606146.1/lock
611826 pmlogger_check
Checking for: pmlogger -P -h local: ... in /tmp/430-606146.1 ...
