host1=ec8d4ba6f8cd
host2=ec8d4ba6f8cdsuper
=== /etc/hosts ===
# Hacked for QA/430
#
10.88.0.6	ec8d4ba6f8cd pcp-ci-debian13-container
  |-pmlogger,603210 -h ec8d4ba6f8cd -d "/tmp/430-600964.4" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,603264 -h ec8d4ba6f8cdsuper -d "/tmp/430-600964.5" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,603321 -h ec8d4ba6f8cdsuper -d "/tmp/430-600964.6" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
  |-systemd,248250 --user
  |   `-(sd-pam),248252
  |-systemd-journal,25
  |-systemd-logind,68
  |-systemd-machine,20156
  |-unbound,13752 -d -p
  |-valkey-server,17436
  |   |-{valkey-server},17439
  |   |-{valkey-server},17440
  |   |-{valkey-server},17441
  |   `-{valkey-server},17442
  |-virtlockd,19481
  |-virtlogd,18806
  `-zabbix_agentd,18386 --foreground
      |-zabbix_agentd,18387
      |-zabbix_agentd,18388
      |-zabbix_agentd,18389
      |-zabbix_agentd,18390
      |-zabbix_agentd,18391
      |-zabbix_agentd,18393
      |-zabbix_agentd,18394
      |-zabbix_agentd,18395
      |-zabbix_agentd,18396
      |-zabbix_agentd,18397
      |-zabbix_agentd,18398
      `-zabbix_agentd,18399
--- end of pstree output ---
_parse_log_control: initial pwd=/tmp
[/tmp/430-600964/control:3] host="$version=1.1" primary="" socks="" dir="" args=""
[/tmp/430-600964/control:4] host="$PMLOGGER_CHECK_SKIP_JANITOR=yes" primary="" socks="" dir="" args=""
[/tmp/430-600964/control:8] host="LOCALHOSTNAME" primary="y" socks="n" dir="/tmp/430-600964.1" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.1 dir=/tmp/430-600964.1
Current dir: /tmp/430-600964.1
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.1/lock
603985 pmlogger_check
Checking for: pmlogger -P -h local: ... in /tmp/430-600964.1 ...
/var/lib/pcp/tmp/pmlogger/primary: missing?
Contents of /var/lib/pcp/tmp/pmlogger
total 20
-rw-r--r-- 1 pcp pcp 66 Mar  6 00:52 603111
-rw-r--r-- 1 pcp pcp 66 Mar  6 00:52 603159
-rw-r--r-- 1 pcp pcp 66 Mar  6 00:52 603210
-rw-r--r-- 1 pcp pcp 66 Mar  6 00:52 603264
-rw-r--r-- 1 pcp pcp 66 Mar  6 00:52 603321
--- end of ls output ---
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-600964/config" (pmlogconf)
Command: PMLOGGER_INTERVAL=10 /usr/lib/pcp/bin/pmlogger -N -P -d "/tmp/430-600964.1" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
Restarting primary pmlogger for host "local:" ... [process 604083]  done
[/tmp/430-600964/control:9] host="LOCALHOSTNAME" primary="n" socks="n" dir="/tmp/430-600964.2" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.2 dir=/tmp/430-600964.2
Current dir: /tmp/430-600964.2
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.2/lock
603985 pmlogger_check
Checking for: pmlogger -h local: ... in /tmp/430-600964.2 ...
... try /var/lib/pcp/tmp/pmlogger/603111 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.2/20260306.00.52 _trydir=/tmp/430-600964.2 dir=/tmp/430-600964.2: match=2 pmlogger process 603111 identified, OK
[/tmp/430-600964/control:10] host="ec8d4ba6f8cd" primary="n" socks="n" dir="/tmp/430-600964.3" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.3 dir=/tmp/430-600964.3
Current dir: /tmp/430-600964.3
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.3/lock
603985 pmlogger_check
Checking for: pmlogger -h ec8d4ba6f8cd ... in /tmp/430-600964.3 ...
... try /var/lib/pcp/tmp/pmlogger/603111 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.2/20260306.00.52 _trydir=/tmp/430-600964.3 dir=/tmp/430-600964.3: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603159 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.3/20260306.00.52 _trydir=/tmp/430-600964.3 dir=/tmp/430-600964.3: match=2 pmlogger process 603159 identified, OK
[/tmp/430-600964/control:11] host="ec8d4ba6f8cd" primary="n" socks="n" dir="/tmp/430-600964.4" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.4 dir=/tmp/430-600964.4
Current dir: /tmp/430-600964.4
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.4/lock
603985 pmlogger_check
Checking for: pmlogger -h ec8d4ba6f8cd ... in /tmp/430-600964.4 ...
... try /var/lib/pcp/tmp/pmlogger/603111 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.2/20260306.00.52 _trydir=/tmp/430-600964.4 dir=/tmp/430-600964.4: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603159 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.3/20260306.00.52 _trydir=/tmp/430-600964.4 dir=/tmp/430-600964.4: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603210 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.4/20260306.00.52 _trydir=/tmp/430-600964.4 dir=/tmp/430-600964.4: match=2 pmlogger process 603210 identified, OK
[/tmp/430-600964/control:12] host="ec8d4ba6f8cdsuper" primary="n" socks="n" dir="/tmp/430-600964.5" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.5 dir=/tmp/430-600964.5
Current dir: /tmp/430-600964.5
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.5/lock
603985 pmlogger_check
Checking for: pmlogger -h ec8d4ba6f8cdsuper ... in /tmp/430-600964.5 ...
... try /var/lib/pcp/tmp/pmlogger/603111 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.2/20260306.00.52 _trydir=/tmp/430-600964.5 dir=/tmp/430-600964.5: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603159 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.3/20260306.00.52 _trydir=/tmp/430-600964.5 dir=/tmp/430-600964.5: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603210 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.4/20260306.00.52 _trydir=/tmp/430-600964.5 dir=/tmp/430-600964.5: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603264 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.5/20260306.00.52 _trydir=/tmp/430-600964.5 dir=/tmp/430-600964.5: match=2 pmlogger process 603264 identified, OK
[/tmp/430-600964/control:13] host="ec8d4ba6f8cdsuper" primary="n" socks="n" dir="/tmp/430-600964.6" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.6 dir=/tmp/430-600964.6
Current dir: /tmp/430-600964.6
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.6/lock
603985 pmlogger_check
Checking for: pmlogger -h ec8d4ba6f8cdsuper ... in /tmp/430-600964.6 ...
... try /var/lib/pcp/tmp/pmlogger/603111 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.2/20260306.00.52 _trydir=/tmp/430-600964.6 dir=/tmp/430-600964.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603159 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.3/20260306.00.52 _trydir=/tmp/430-600964.6 dir=/tmp/430-600964.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603210 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.4/20260306.00.52 _trydir=/tmp/430-600964.6 dir=/tmp/430-600964.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603264 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.5/20260306.00.52 _trydir=/tmp/430-600964.6 dir=/tmp/430-600964.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603321 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.6/20260306.00.52 _trydir=/tmp/430-600964.6 dir=/tmp/430-600964.6: match=2 pmlogger process 603321 identified, OK
Doing compression ...
End [check]: 2026-03-06 00:52:20.677006687 status=0
Found pid 604083 after 0 iterations
Connected to pmlogger on port 4330 at local:
pmlogger [604083] on host local: is logging metrics from host ec8d4ba6f8cd
PMCD host        ec8d4ba6f8cd
log started      Fri Mar  6 00:52:19.701790525 2026 (times in local time)
last log entry   Fri Mar  6 00:52:19.701790525 2026
current time     Fri Mar  6 00:52:20.696099080 2026
log volume       0
log size         1056

Kill off one pmlogger ...
6 active pmloggers: 603111 603159 603210 603264 603321 604083 primary
--- /var/lib/pcp/tmp/pmlogger/603111 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.2/20260306.00.52
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/603159 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.3/20260306.00.52
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/603210 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.4/20260306.00.52
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/603264 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.5/20260306.00.52
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/603321 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.6/20260306.00.52
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/604083 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.1/20260306.00.52-00
pmlogger_check
initially pid=603111
Victim pid=603111
UID          PID    PPID  C STIME TTY          TIME CMD
pcp       603111       1  0 00:52 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -h local: -d "/tmp/430-600964.2" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
+++ /var/lib/pcp/tmp/pmlogger/603111 +++
4330
ec8d4ba6f8cd
/tmp/430-600964.2/20260306.00.52
pmlogger_check
Check ...
Start [check]: 2026-03-06 00:52:20.770837421
Called from:
systemd,1
  |-agetty,77 -o -- \\u --noreset --noclear --keep-baud 115200,57600,38400,9600 - xterm
  |-apache2,19161 -k start
  |   |-apache2,19163 -k start
  |   |   |-{apache2},19166
  |   |   |-{apache2},19168
  |   |   |-{apache2},19169
  |   |   |-{apache2},19173
  |   |   |-{apache2},19175
  |   |   |-{apache2},19177
  |   |   |-{apache2},19179
  |   |   |-{apache2},19180
  |   |   |-{apache2},19184
  |   |   |-{apache2},19186
  |   |   |-{apache2},19188
  |   |   |-{apache2},19189
  |   |   |-{apache2},19191
  |   |   |-{apache2},19194
  |   |   |-{apache2},19196
  |   |   |-{apache2},19198
  |   |   |-{apache2},19199
  |   |   |-{apache2},19201
  |   |   |-{apache2},19204
  |   |   |-{apache2},19206
  |   |   |-{apache2},19210
  |   |   |-{apache2},19212
  |   |   |-{apache2},19213
  |   |   |-{apache2},19215
  |   |   |-{apache2},19216
  |   |   `-{apache2},19217
  |   `-apache2,19164 -k start
  |       |-{apache2},19170
  |       |-{apache2},19171
  |       |-{apache2},19172
  |       |-{apache2},19174
  |       |-{apache2},19176
  |       |-{apache2},19178
  |       |-{apache2},19181
  |       |-{apache2},19182
  |       |-{apache2},19183
  |       |-{apache2},19185
  |       |-{apache2},19187
  |       |-{apache2},19190
  |       |-{apache2},19192
  |       |-{apache2},19193
  |       |-{apache2},19195
  |       |-{apache2},19197
  |       |-{apache2},19200
  |       |-{apache2},19202
  |       |-{apache2},19203
  |       |-{apache2},19205
  |       |-{apache2},19208
  |       |-{apache2},19209
  |       |-{apache2},19211
  |       |-{apache2},19214
  |       |-{apache2},19218
  |       `-{apache2},19219
  |-avahi-daemon,17682
  |   `-avahi-daemon,17683
  |-containerd,13618
  |   |-{containerd},13620
  |   |-{containerd},13621
  |   |-{containerd},13622
  |   |-{containerd},13623
  |   |-{containerd},13624
  |   |-{containerd},13625
  |   |-{containerd},13626
  |   `-{containerd},13627
  |-cron,13877 -f
  |-dbus-daemon,67 --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
  |-dockerd,17058 -H fd:// --containerd=/run/containerd/containerd.sock
  |   |-{dockerd},17059
  |   |-{dockerd},17060
  |   |-{dockerd},17061
  |   |-{dockerd},17062
  |   |-{dockerd},17063
  |   |-{dockerd},17064
  |   |-{dockerd},17065
  |   |-{dockerd},17066
  |   `-{dockerd},17067
  |-exim4,18686 -bdf -q30m
  |-htcacheclean,19262 -d 120 -p /var/cache/apache2/mod_cache_disk -l 300M -n
  |-memcached,17344 -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
  |   |-{memcached},17347
  |   |-{memcached},17348
  |   |-{memcached},17349
  |   |-{memcached},17350
  |   |-{memcached},17351
  |   |-{memcached},17352
  |   |-{memcached},17353
  |   |-{memcached},17354
  |   `-{memcached},17355
  |-pmcd,598841 -A -T 3 -C 512
  |   `-pmdaroot,598848
  |       |-pmdadm,598889 -d 129
  |       |-pmdakvm,598888 -d 95
  |       |-pmdalinux,598865
  |       |-pmdaproc,598852 -d 3
  |       |-pmdasample,598859 -d 29
  |       |-pmdasimple,598903 -d 253
  |       |-pmdaxfs,598856 -d 11
  |       |-python3,598870 /var/lib/pcp/pmdas/nfsclient/pmdanfsclient.python
  |       |-python3,598894 /var/lib/pcp/pmdas/opentelemetry/pmdaopentelemetry.python
  |       `-python3,598890 /var/lib/pcp/pmdas/openmetrics/pmdaopenmetrics.python
  |-pmlogger,603159 -h ec8d4ba6f8cd -d "/tmp/430-600964.3" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,603210 -h ec8d4ba6f8cd -d "/tmp/430-600964.4" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,603264 -h ec8d4ba6f8cdsuper -d "/tmp/430-600964.5" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,603321 -h ec8d4ba6f8cdsuper -d "/tmp/430-600964.6" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,604083 -N -P -d "/tmp/430-600964.1" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
  |-systemd,248250 --user
  |   `-(sd-pam),248252
  |-systemd-journal,25
  |-systemd-logind,68
  |-systemd-machine,20156
  |-unbound,13752 -d -p
  |-valkey-server,17436
  |   |-{valkey-server},17439
  |   |-{valkey-server},17440
  |   |-{valkey-server},17441
  |   `-{valkey-server},17442
  |-virtlockd,19481
  |-virtlogd,18806
  `-zabbix_agentd,18386 --foreground
      |-zabbix_agentd,18387
      |-zabbix_agentd,18388
      |-zabbix_agentd,18389
      |-zabbix_agentd,18390
      |-zabbix_agentd,18391
      |-zabbix_agentd,18393
      |-zabbix_agentd,18394
      |-zabbix_agentd,18395
      |-zabbix_agentd,18396
      |-zabbix_agentd,18397
      |-zabbix_agentd,18398
      `-zabbix_agentd,18399
--- end of pstree output ---
_parse_log_control: initial pwd=/tmp
[/tmp/430-600964/control:3] host="$version=1.1" primary="" socks="" dir="" args=""
[/tmp/430-600964/control:4] host="$PMLOGGER_CHECK_SKIP_JANITOR=yes" primary="" socks="" dir="" args=""
[/tmp/430-600964/control:8] host="LOCALHOSTNAME" primary="y" socks="n" dir="/tmp/430-600964.1" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.1 dir=/tmp/430-600964.1
Current dir: /tmp/430-600964.1
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.1/lock
605220 pmlogger_check
Checking for: pmlogger -P -h local: ... in /tmp/430-600964.1 ...
... try /var/lib/pcp/tmp/pmlogger/primary: _host=ec8d4ba6f8cd _arch=/tmp/430-600964.1/20260306.00.52-00
primary pmlogger process 604083 identified, OK
[/tmp/430-600964/control:9] host="LOCALHOSTNAME" primary="n" socks="n" dir="/tmp/430-600964.2" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.2 dir=/tmp/430-600964.2
Current dir: /tmp/430-600964.2
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.2/lock
605220 pmlogger_check
Checking for: pmlogger -h local: ... in /tmp/430-600964.2 ...
... try /var/lib/pcp/tmp/pmlogger/603159 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.3/20260306.00.52 _trydir=/tmp/430-600964.2 dir=/tmp/430-600964.2: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603210 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.4/20260306.00.52 _trydir=/tmp/430-600964.2 dir=/tmp/430-600964.2: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603264 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.5/20260306.00.52 _trydir=/tmp/430-600964.2 dir=/tmp/430-600964.2: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603321 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.6/20260306.00.52 _trydir=/tmp/430-600964.2 dir=/tmp/430-600964.2: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/604083 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.1/20260306.00.52-00 _trydir=/tmp/430-600964.2 dir=/tmp/430-600964.2: match=0 different directory, skip
No reconfigure: magic=1 auto-generated=1 skip=0: "/tmp/430-600964/config" (pmlogconf)
Command: PMLOGGER_LOCAL=1 /usr/lib/pcp/bin/pmlogger -h local: -d "/tmp/430-600964.2" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
Restarting pmlogger for host "local:" ... [process 605392]  done
[/tmp/430-600964/control:10] host="ec8d4ba6f8cd" primary="n" socks="n" dir="/tmp/430-600964.3" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.3 dir=/tmp/430-600964.3
Current dir: /tmp/430-600964.3
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.3/lock
605220 pmlogger_check
Checking for: pmlogger -h ec8d4ba6f8cd ... in /tmp/430-600964.3 ...
... try /var/lib/pcp/tmp/pmlogger/603159 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.3/20260306.00.52 _trydir=/tmp/430-600964.3 dir=/tmp/430-600964.3: match=2 pmlogger process 603159 identified, OK
[/tmp/430-600964/control:11] host="ec8d4ba6f8cd" primary="n" socks="n" dir="/tmp/430-600964.4" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.4 dir=/tmp/430-600964.4
Current dir: /tmp/430-600964.4
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.4/lock
605220 pmlogger_check
Checking for: pmlogger -h ec8d4ba6f8cd ... in /tmp/430-600964.4 ...
... try /var/lib/pcp/tmp/pmlogger/603159 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.3/20260306.00.52 _trydir=/tmp/430-600964.4 dir=/tmp/430-600964.4: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603210 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.4/20260306.00.52 _trydir=/tmp/430-600964.4 dir=/tmp/430-600964.4: match=2 pmlogger process 603210 identified, OK
[/tmp/430-600964/control:12] host="ec8d4ba6f8cdsuper" primary="n" socks="n" dir="/tmp/430-600964.5" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.5 dir=/tmp/430-600964.5
Current dir: /tmp/430-600964.5
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.5/lock
605220 pmlogger_check
Checking for: pmlogger -h ec8d4ba6f8cdsuper ... in /tmp/430-600964.5 ...
... try /var/lib/pcp/tmp/pmlogger/603159 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.3/20260306.00.52 _trydir=/tmp/430-600964.5 dir=/tmp/430-600964.5: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603210 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.4/20260306.00.52 _trydir=/tmp/430-600964.5 dir=/tmp/430-600964.5: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603264 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.5/20260306.00.52 _trydir=/tmp/430-600964.5 dir=/tmp/430-600964.5: match=2 pmlogger process 603264 identified, OK
[/tmp/430-600964/control:13] host="ec8d4ba6f8cdsuper" primary="n" socks="n" dir="/tmp/430-600964.6" args="-c /tmp/430-600964/config"
After _do_dir_and_args: orig_dir=/tmp/430-600964.6 dir=/tmp/430-600964.6
Current dir: /tmp/430-600964.6
Acquired lock:
-r--r--r-- 1 pcp pcp 22 Mar  6 00:52 /tmp/430-600964.6/lock
605220 pmlogger_check
Checking for: pmlogger -h ec8d4ba6f8cdsuper ... in /tmp/430-600964.6 ...
... try /var/lib/pcp/tmp/pmlogger/603159 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.3/20260306.00.52 _trydir=/tmp/430-600964.6 dir=/tmp/430-600964.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603210 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.4/20260306.00.52 _trydir=/tmp/430-600964.6 dir=/tmp/430-600964.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603264 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.5/20260306.00.52 _trydir=/tmp/430-600964.6 dir=/tmp/430-600964.6: match=0 different directory, skip
... try /var/lib/pcp/tmp/pmlogger/603321 _host=ec8d4ba6f8cd _archdir=/tmp/430-600964.6/20260306.00.52 _trydir=/tmp/430-600964.6 dir=/tmp/430-600964.6: match=2 pmlogger process 603321 identified, OK
Doing compression ...
End [check]: 2026-03-06 00:52:21.866650818 status=0
Found pid 605392 after 0 iterations

Kill off one pmlogger ...
6 active pmloggers: 603159 603210 603264 603321 604083 605392 primary
--- /var/lib/pcp/tmp/pmlogger/603159 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.3/20260306.00.52
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/603210 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.4/20260306.00.52
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/603264 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.5/20260306.00.52
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/603321 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.6/20260306.00.52
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/604083 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.1/20260306.00.52-00
pmlogger_check
--- /var/lib/pcp/tmp/pmlogger/605392 ---
4330
ec8d4ba6f8cd
/tmp/430-600964.2/20260306.00.52-00
pmlogger_check
initially pid=603159
Victim pid=603159
UID          PID    PPID  C STIME TTY          TIME CMD
pcp       603159       1  0 00:52 ?        00:00:00 /usr/lib/pcp/bin/pmlogger -h ec8d4ba6f8cd -d "/tmp/430-600964.3" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
+++ /var/lib/pcp/tmp/pmlogger/603159 +++
4330
ec8d4ba6f8cd
/tmp/430-600964.3/20260306.00.52
pmlogger_check
Check ...
Start [check]: 2026-03-06 00:52:21.960844412
Called from:
systemd,1
  |-agetty,77 -o -- \\u --noreset --noclear --keep-baud 115200,57600,38400,9600 - xterm
  |-apache2,19161 -k start
  |   |-apache2,19163 -k start
  |   |   |-{apache2},19166
  |   |   |-{apache2},19168
  |   |   |-{apache2},19169
  |   |   |-{apache2},19173
  |   |   |-{apache2},19175
  |   |   |-{apache2},19177
  |   |   |-{apache2},19179
  |   |   |-{apache2},19180
  |   |   |-{apache2},19184
  |   |   |-{apache2},19186
  |   |   |-{apache2},19188
  |   |   |-{apache2},19189
  |   |   |-{apache2},19191
  |   |   |-{apache2},19194
  |   |   |-{apache2},19196
  |   |   |-{apache2},19198
  |   |   |-{apache2},19199
  |   |   |-{apache2},19201
  |   |   |-{apache2},19204
  |   |   |-{apache2},19206
  |   |   |-{apache2},19210
  |   |   |-{apache2},19212
  |   |   |-{apache2},19213
  |   |   |-{apache2},19215
  |   |   |-{apache2},19216
  |   |   `-{apache2},19217
  |   `-apache2,19164 -k start
  |       |-{apache2},19170
  |       |-{apache2},19171
  |       |-{apache2},19172
  |       |-{apache2},19174
  |       |-{apache2},19176
  |       |-{apache2},19178
  |       |-{apache2},19181
  |       |-{apache2},19182
  |       |-{apache2},19183
  |       |-{apache2},19185
  |       |-{apache2},19187
  |       |-{apache2},19190
  |       |-{apache2},19192
  |       |-{apache2},19193
  |       |-{apache2},19195
  |       |-{apache2},19197
  |       |-{apache2},19200
  |       |-{apache2},19202
  |       |-{apache2},19203
  |       |-{apache2},19205
  |       |-{apache2},19208
  |       |-{apache2},19209
  |       |-{apache2},19211
  |       |-{apache2},19214
  |       |-{apache2},19218
  |       `-{apache2},19219
  |-avahi-daemon,17682
  |   `-avahi-daemon,17683
  |-containerd,13618
  |   |-{containerd},13620
  |   |-{containerd},13621
  |   |-{containerd},13622
  |   |-{containerd},13623
  |   |-{containerd},13624
  |   |-{containerd},13625
  |   |-{containerd},13626
  |   `-{containerd},13627
  |-cron,13877 -f
  |-dbus-daemon,67 --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
  |-dockerd,17058 -H fd:// --containerd=/run/containerd/containerd.sock
  |   |-{dockerd},17059
  |   |-{dockerd},17060
  |   |-{dockerd},17061
  |   |-{dockerd},17062
  |   |-{dockerd},17063
  |   |-{dockerd},17064
  |   |-{dockerd},17065
  |   |-{dockerd},17066
  |   `-{dockerd},17067
  |-exim4,18686 -bdf -q30m
  |-htcacheclean,19262 -d 120 -p /var/cache/apache2/mod_cache_disk -l 300M -n
  |-memcached,17344 -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
  |   |-{memcached},17347
  |   |-{memcached},17348
  |   |-{memcached},17349
  |   |-{memcached},17350
  |   |-{memcached},17351
  |   |-{memcached},17352
  |   |-{memcached},17353
  |   |-{memcached},17354
  |   `-{memcached},17355
  |-pmcd,598841 -A -T 3 -C 512
  |   `-pmdaroot,598848
  |       |-pmdadm,598889 -d 129
  |       |-pmdakvm,598888 -d 95
  |       |-pmdalinux,598865
  |       |-pmdaproc,598852 -d 3
  |       |-pmdasample,598859 -d 29
  |       |-pmdasimple,598903 -d 253
  |       |-pmdaxfs,598856 -d 11
  |       |-python3,598870 /var/lib/pcp/pmdas/nfsclient/pmdanfsclient.python
  |       |-python3,598894 /var/lib/pcp/pmdas/opentelemetry/pmdaopentelemetry.python
  |       `-python3,598890 /var/lib/pcp/pmdas/openmetrics/pmdaopenmetrics.python
  |-pmlogger,603210 -h ec8d4ba6f8cd -d "/tmp/430-600964.4" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
  |-pmlogger,603264 -h ec8d4ba6f8cdsuper -d "/tmp/430-600964.5" -c /tmp/430-600964/config -m pmlogger_check %Y%m%d.%H.%M
